text,spam
"Subject:""Congratulations! You've won a prize!""",1
"Subject: ""Meeting agenda for tomorrow""",0
"Subject: ""Update your account information""",1
"Subject: ""Exclusive deal just for you!""",1
"Subject: ""Your order has been shipped""",0
"Subject: ""Urgent: Verify your identity""",1
"Subject: ""Lunch plans?""",0
"Subject: ""Limited time offer!""",1
"Subject: ""Important security notice""",1
"Subject: ""Project update attached""",0
"Subject: ""Important security notice""",1
"Subject: ""Project update attached""",0
"Subject: ""Free gift with your next purchase!""",1
"Subject: ""Reminder: Doctor's appointment""",0
"Subject: ""Claim your cash prize now!""",1
"Subject: ""Quarterly performance review""",0
"Subject: ""You've been pre-approved for a loan!""",1
"Subject: ""Family reunion this weekend""",0
"Subject: ""Double your earnings in a week!""",1
"Subject: ""Happy Birthday!""",0
"Subject: ""Don't miss this amazing offer!""",1
"Subject: ""Your package is out for delivery""",0
"Subject: ""Win big with this amazing offer!""",1
"Subject: ""Update your password now""",1
"Subject: ""Important: Action required on your account""",1
"Subject: ""Congratulations, you’ve been selected!""",1
"Subject: ""Special promotion just for you!""",1
"Subject: ""Check out these new arrivals""",0
"Subject: ""Get rich quick with this investment""",1
"Subject: ""Don't miss this exclusive deal""",1
"Subject: ""Invitation to join our VIP club""",1
"Subject: ""Reminder: Your bill is overdue""",0
"Subject: ""You’ve won a free vacation!""",1
"Subject: ""Update your billing information""",1
"Subject: ""Discover how to lose weight fast""",1
"Subject: ""Your subscription is about to expire""",0
"Subject: ""Earn money from home easily""",1
"Subject: ""Important information about your account""",1
"Subject: ""Get a free consultation now""",1
"Subject: ""Reminder: Your appointment tomorrow""",0
"Subject: ""Limited time offer: Save 70% now!""",1
"Subject: ""Secure your financial future today""",1
"Subject: ""Your delivery has been scheduled""",0
"Subject: ""Congratulations, you’ve won a gift card!""",1
"Subject: ""Update required for your account""",1
"Subject: ""Huge discounts on all products""",1
"Subject: ""Monthly newsletter update""",0
"Subject: ""Get paid to take surveys""",1
"Subject: ""Reminder: Your service is ending soon""",0
"Subject: ""Exclusive: Early access to our sale!""",1
"Subject: ""Your account has been compromised""",1
"Subject: ""Thank you for your purchase""",0
"Subject: ""Win a free iPad today!""",1
"Subject: ""Last chance: Offer ends soon""",1
"Subject: ""Action needed: Verify your account""",1
"Subject: ""Free trial: Sign up now""",1
"Subject: ""New updates available for your account""",0
"Subject: ""Earn cash quickly with this offer""",1
"Subject: ""Special offer for our valued customer""",1
"Subject: ""Your account needs attention""",1
"Subject: ""Daily deals and discounts""",0
"Subject: ""Congratulations on your prize!""",1
"Subject: ""Your order confirmation""",0
"Subject: ""Limited time offer: Act fast!""",1
"Subject: ""You have a new message""",0
"Subject: ""Special promotion just for you!""",1
"Subject: ""Sign up for free to get exclusive offers""",1
"Subject: ""Congratulations, you’re our winner!""",1
"Subject: ""Claim your free trial now""",1
"Subject: ""Your urgent attention is needed""",1
"Subject: ""Special offer: 50% off everything""",1
"Subject: ""Get a loan with no credit check""",1
"Subject: ""Reminder: Your payment is overdue""",0
"Subject: ""Free sample just for you""",1
"Subject: ""Limited time only: Get rich quick!""",1
"Subject: ""Exclusive offer for valued customers""",1
"Subject: ""Important: Account verification needed""",1
"Subject: ""You’ve won a $1000 gift card!""",1
"Subject: ""Your account is locked""",1
"Subject: ""Best deals of the year inside!""",1
"Subject: ""Monthly account statement""",0
"Subject: ""Act now: Free prize inside""",1
"Subject: ""Upgrade your subscription now""",0
"Subject: ""Opportunity to earn money from home""",1
"Subject: ""Win a free gift card worth $500""",1
"Subject: ""Update: Your account has a new message""",0
"Subject: ""Exclusive deal for a limited time""",1
"Subject: ""Check your inbox for a special offer!""",1
"Subject: ""Don’t miss this amazing opportunity""",1
"Subject: ""Your account needs immediate attention""",1
"Subject: ""Final notice: Payment due""",0
"Subject: ""Huge savings on all items""",1
"Subject: ""Congratulations on your recent win!""",1
"Subject: ""Reminder: Update your billing info""",1
"Subject: ""Earn money online easily""",1
"Subject: ""Free consultation just for you""",1
"Subject: ""Important information about your order""",0
"Subject: ""You’ve been selected for a special offer""",1
"Subject: ""Reminder: Your account security update""",1
"Subject: ""Special offer ends soon""",1
"Subject: ""Get your free quote today""",1
"Subject: ""Your free gift is waiting!""",1
"Subject: ""Update: New features added to your account""",0
"Subject: ""Act now to get your free reward!""",1
"Subject: ""Don’t miss out on this exclusive deal""",1
"Subject: ""Your order has been processed""",0
"Subject: ""Free access to premium content""",1
"Subject: ""You have a new message from us""",0
"Subject: ""Claim your free prize today""",1
"Subject: ""Important: Action needed on your account""",1
"Subject: ""Exclusive savings just for you!""",1
"Subject: ""Reminder: Your trial period is ending""",0
"Subject: ""Sign up now for free rewards""",1
"Subject: ""Special promotion for new customers""",1
"Subject: ""Congratulations! You've been selected!""",1
"Subject: ""Exclusive: Get your free trial now!""",1
"Subject: ""Urgent: Verify your account today!""",1
"Subject: ""Huge discount on all items!""",1
"Subject: ""Limited time offer: 80% off!""",1
"Subject: ""Reminder: Your subscription is ending""",0
"Subject: ""Act now to win a $1000 prize!""",1
"Subject: ""Special offer: Save on your next purchase!""",1
"Subject: ""New way to make money online""",1
"Subject: ""Your payment was unsuccessful""",0
"Subject: ""Win a luxury car!""",1
"Subject: ""Immediate action required: Account issues""",1
"Subject: ""Exclusive deal: Buy one get one free!""",1
"Subject: ""Update your details to continue""",1
"Subject: ""Free prize awaits you!""",1
"Subject: ""Your account has been flagged""",1
"Subject: ""Get your free gift card now!""",1
"Subject: ""Reminder: Your account needs attention""",1
"Subject: ""Special discount just for you""",1
"Subject: ""Your order has been shipped""",0
"Subject: ""Earn $500 fast with this simple method""",1
"Subject: ""Last chance: Claim your prize!""",1
"Subject: ""Your billing information is outdated""",1
"Subject: ""Big savings on popular items""",1
"Subject: ""Important update regarding your account""",1
"Subject: ""Get a free quote today!""",1
"Subject: ""Act now: Exclusive offers inside!""",1
"Subject: ""Congratulations! You’re a winner!""",1
"Subject: ""Your account is at risk""",1
"Subject: ""Limited offer: Sign up for free!""",1
"Subject: ""You’ve won a gift card worth $1000!""",1
"Subject: ""Special offer on new products""",1
"Subject: ""Reminder: Your payment is overdue""",0
"Subject: ""Free trial: Get started today!""",1
"Subject: ""Earn money from home with this program""",1
"Subject: ""Important: Your account requires action""",1
"Subject: ""Unlock exclusive deals now""",1
"Subject: ""Claim your free prize before it’s too late""",1
"Subject: ""Get access to premium content""",1
"Subject: ""Congratulations! You’ve been selected for a special offer!""",1
"Subject: ""Reminder: Update your profile now""",1
"Subject: ""Exclusive access: Limited time only""",1
"Subject: ""Your package has been delivered""",0
"Subject: ""Earn $1000 a week from home""",1
"Subject: ""Congratulations! You’ve won a contest""",1
"Subject: ""Action needed: Update your account""",1
"Subject: ""Special promotion: Save big now!""",1
"Subject: ""Reminder: Your account is about to expire""",0
"Subject: ""Get a free consultation today!""",1
"Subject: ""Congratulations! You’ve won a prize!""",1
"Subject: ""Unlock premium features with this offer!""",1
"Subject: ""You’ve been selected for a grand prize!""",1
"Subject: ""Act fast! Free eBook available now""",1
"Subject: ""Exclusive chance to win a vacation!""",1
"Subject: ""Upgrade to VIP status with this deal!""",1
"Subject: ""Reminder: Update your account details""",0
"Subject: ""Claim your free bonus today!""",1
"Subject: ""Limited time: Get rich quick!""",1
"Subject: ""Special deal on high-end electronics""",1
"Subject: ""Your account has been compromised!""",1
"Subject: ""Win big with this investment opportunity!""",1
"Subject: ""Important: Confirm your details""",1
"Subject: ""Free trial of our latest service""",1
"Subject: ""Exclusive offer for subscribers only""",1
"Subject: ""Get your free gift today!""",1
"Subject: ""Urgent: Update required for your account""",1
"Subject: ""Receive cash rewards for minimal effort""",1
"Subject: ""Special discount on luxury items""",1
"Subject: ""Reminder: Your free trial is ending soon""",0
"Subject: ""Earn money from your home easily""",1
"Subject: ""Congratulations! You’ve won a prize!""",1
"Subject: ""Exclusive savings: Act now!""",1
"Subject: ""Update: New features available for you""",0
"Subject: ""Get your free trial now!""",1
"Subject: ""Win a free laptop with this promotion!""",1
"Subject: ""Important update: Your account status""",1
"Subject: ""Last chance: Huge discounts on everything!""",1
"Subject: ""Free gift card with your purchase""",1
"Subject: ""Action required: Verify your identity""",1
"Subject: ""Don’t miss out on this limited-time offer""",1
"Subject: ""You’ve been selected for an exclusive deal""",1
"Subject: ""Claim your free vacation now!""",1
"Subject: ""Reminder: Your account has a new message""",0
"Subject: ""Earn thousands from home""",1
"Subject: ""Exclusive offer: Free subscription""",1
"Subject: ""Congratulations! You’ve been chosen!""",1
"Subject: ""Update your account information now""",1
"Subject: ""Special offer: Save big on your next order""",1
"Subject: ""Your delivery is on its way""",0
"Subject: ""Get access to premium content for free""",1
"Subject: ""You’ve won a $500 gift card!""",1
"Subject: ""Action needed: Secure your account""",1
"Subject: ""Exclusive deal: Limited quantities available""",1
"Subject: ""Free access to our members-only area""",1
"Subject: ""Important: Verify your account now""",1
"Subject: ""Special promotion: Save up to 90%!""",1
"Subject: ""Your order confirmation and receipt""",0
"Subject: ""Win a free vacation getaway!""",1
"Subject: ""Congratulations! You’re a winner!""",1
"Subject: ""Get a free eBook on digital marketing!""",1
"Subject: ""Your account is eligible for an upgrade""",1
"Subject: ""Special offer: Free consultation""",1
"Subject: ""Congratulations! You’ve won a smartwatch!""",1
"Subject: ""Final chance to claim your bonus""",1
"Subject: ""Monthly account summary available""",0
"Subject: ""Exclusive opportunity for early access""",1
"Subject: ""Your order has been processed""",0
"Subject: ""Win a free subscription to premium content!""",1
"Subject: ""Get started with your free trial today!""",1
"Subject: ""Important notice about your account""",1
"Subject: ""Annual report and account statement""",0
"Subject: ""Limited-time offer: Free gift with purchase""",1
"Subject: ""Your credit card statement is ready""",0
"Subject: ""You’ve been selected for a special discount""",1
"Subject: ""Reminder: Your subscription renewal""",0
"Subject: ""Unlock amazing deals today!""",1
"Subject: ""Update your account security settings""",0
"Subject: ""Win a vacation package for two!""",1
"Subject: ""Your new billing statement is available""",0
"Subject: ""Special savings just for you!""",1
"Subject: ""Monthly newsletter: What's new in tech""",0
"Subject: ""Congratulations on your latest win!""",1
"Subject: ""Important: Verify your email address""",1
"Subject: ""Your shipping confirmation""",0
"Subject: ""Limited time offer: Get a free trial now""",1
"Subject: ""Your product order has been shipped""",0
"Subject: ""Special discount for first-time buyers""",1
"Subject: ""Update: Your recent transactions""",0
"Subject: ""Win a free prize with this exclusive deal""",1
"Subject: ""Upcoming event: RSVP now""",0
"Subject: ""Exclusive deal on software upgrades""",1
"Subject: ""Your recent purchase details""",0
"Subject: ""Claim your free bonus now!""",1
"Subject: ""Important information about your account""",1
"Subject: ""Reminder: Your account needs attention""",1
"Subject: ""Thank you for your recent purchase!""",0
"Subject: ""Special offer on our latest products""",1
"Subject: ""Your invoice is attached""",0
"Subject: ""Reminder: Team meeting at 10 AM tomorrow""",0
"Subject: ""Update on project status""",0
"Subject: ""Invitation: Webinar on data analytics""",0
"Subject: ""Follow-up on recent job application""",0
"Subject: ""Your appointment is confirmed""",0
"Subject: ""Monthly report for July""",0
"Subject: ""Important: Review your tax documents""",0
"Subject: ""Upcoming deadlines for the semester""",0
"Subject: ""Your order has been shipped""",0
"Subject: ""Meeting agenda for next week""",0
"Subject: ""New features in the latest software update""",0
"Subject: ""Project feedback and next steps""",0
"Subject: ""Reminder: Submit your timesheet""",0
"Subject: ""Request for feedback on recent training""",0
"Subject: ""Annual benefits enrollment information""",0
"Subject: ""Your subscription renewal notice""",0
"Subject: ""Important: Confirm your event registration""",0
"Subject: ""Details for the upcoming conference""",0
"Subject: ""Follow-up on your recent inquiry""",0
"Subject: ""Notice: Scheduled maintenance this weekend""",0
"Subject: ""Your application has been received""",0
"Subject: ""Important: Your new account details""",0
"Subject: ""Invitation: Staff training session""",0
"Subject: ""Confirmation: Your request has been processed""",0
"Subject: ""Update: Your recent support ticket""",0
"Subject: ""Reminder: Upcoming deadlines and tasks""",0
"Subject: ""Your feedback is appreciated""",0
"Subject: ""Important information about your subscription""",0
"Subject: ""New policy update: Read carefully""",0
"Subject: ""Your recent purchase details""",0
"Subject: ""Event reminder: RSVP by tomorrow""",0
"Subject: ""Your account activity summary""",0
"Subject: ""Scheduled maintenance: What you need to know""",0
"Subject: ""Reminder: Submit your project proposal""",0
"Subject: ""Confirmation of your recent transaction""",0
"Subject: ""Invitation: Annual company meeting""",0
"Subject: ""Update on your application status""",0
"Subject: ""Action required: Your email address""",0
"Subject: ""Congratulations! You've been selected for a cash prize!""",1
"Subject: ""Limited time offer: Get your free iPhone now!""",1
"Subject: ""Earn money quickly from home – start today!""",1
"Subject: ""Claim your free bonus with this special code""",1
"Subject: ""Get access to exclusive deals and discounts!""",1
"Subject: ""You’ve won a $1000 gift card – claim it now!""",1
"Subject: ""Act now: Free trial of our premium services""",1
"Subject: ""Important: Update your account details""",1
"Subject: ""Get paid for taking surveys online""",1
"Subject: ""Congratulations! You’ve won a free vacation!""",1
"Subject: ""Limited offer: 50% off all products today only""",1
"Subject: ""Urgent: Your account is at risk – secure it now""",1
"Subject: ""Special promotion: Get a free gift card""",1
"Subject: ""Win a brand new car – enter now!""",1
"Subject: ""Exclusive deal: Buy one, get one free""",1
"Subject: ""Your free trial is about to expire – renew now""",1
"Subject: ""Important notice: Confirm your account details""",1
"Subject: ""Act fast: Limited time opportunity to earn money""",1
"Subject: ""Congratulations on winning a prize!""",1
"Subject: ""Free trial offer – no credit card required!""",1
"Subject: ""Reminder: Submit your project proposal""",0
"Subject: ""Details about your upcoming conference""",0
"Subject: ""Your order confirmation and tracking details""",0
"Subject: ""Monthly report on your account activity""",0
"Subject: ""Action required: Verify your email address""",0
"Subject: ""Invitation: Join us for the annual strategy meeting""",0
"Subject: ""Reminder: Complete your registration for the event""",0
"Subject: ""Confirmation of your recent purchase""",0
"Subject: ""Follow-up: Your recent service request""",0
"Subject: ""Important: Changes to your billing information""",0
"Subject: ""Your new account has been created successfully""",0
"Subject: ""Monthly update on your subscription""",0
"Subject: ""Invitation: Workshop on industry trends""",0
"Subject: ""Reminder: Your feedback on the survey is due""",0
"Subject: ""Details for your upcoming meeting""",0
"Subject: ""Action needed: Review your recent transactions""",0
"Subject: ""Confirmation: Your service request has been processed""",0
"Subject: ""Follow-up: Next steps for your grant proposal""",0
"Subject: ""Reminder: Submit your annual performance review""",0
"Subject: ""Your appointment has been confirmed""",0
"Subject: ""Invitation: Join our upcoming networking event""",0
"Subject: ""Important: Update to your account settings""",0
"Subject: ""Confirmation: Your event registration is complete""",0
"Subject: ""Monthly summary: Updates and news""",0
"Subject: ""Reminder: Upcoming deadline for your application""",0
"Subject: ""Details about your recent order""",0
"Subject: ""Action required: Update your contact details""",0
"Subject: ""Invitation: Attend our upcoming product demo""",0
"Subject: ""Reminder: Your subscription will renew soon""",0
"Subject: ""Confirmation: Your recent order has shipped""",0
"Subject: ""Follow-up: Review your account statement""",0
"Subject: ""Important: Your subscription details have changed""",0
"Subject: ""Reminder: Upcoming team meeting schedule""",0
"Subject: ""Your request has been successfully processed""",0
"Subject: ""Invitation: Join us for the quarterly review""",0
"Subject: ""Details for your upcoming training session""",0
"Subject: ""Action needed: Verify your subscription details""",0
"Subject: ""Confirmation: Your application has been received""",0
"Subject: ""Monthly update: Your account activity summary""",0
"Subject: ""Reminder: Submit your feedback on the event""",0
"Subject: ""Your recent purchase has been confirmed""",0
"Subject: ""Follow-up: Next steps for your application""",0
"Subject: ""Invitation: Attend our upcoming seminar""",0
"Subject: ""Important: Review changes to your service plan""",0
"Subject: ""Meeting reminder: Project kickoff on Monday""",0
"Subject: ""Your recent purchase details and tracking""",0
"Subject: ""Invitation: Company-wide meeting on Thursday""",0
"Subject: ""Action required: Complete your registration""",0
"Subject: ""Reminder: Submit your feedback for the survey""",0
"Subject: ""Important: Changes to your service plan""",0
"Subject: ""Your subscription has been renewed""",0
"Subject: ""Project status update and next milestones""",0
"Subject: ""Invitation to the quarterly review meeting""",0
"Subject: ""New features and improvements in the software""",0
"Subject: ""Confirmation: Your recent service request""",0
"Subject: ""Reminder: RSVP for the upcoming event""",0
"Subject: ""Notice: Updated guidelines for the team""",0
"Subject: ""Your account details have been updated""",0
"Subject: ""Monthly newsletter: Industry updates""",0
"Subject: ""Follow-up: Action items from the last meeting""",0
"Subject: ""Upcoming deadlines for your research project""",0
"Subject: ""Your account statement for this month""",0
"Subject: ""Team meeting agenda and materials""",0
"Subject: ""Reminder: Your subscription renewal""",0
"Subject: ""Your job application status update""",0
"Subject: ""Details for the upcoming product launch""",0
